,TweetID,Username,Text,CreateDate,Biased,Keyword
0,1228740093357092865,celticfilms,"aipac should be registered as a foreign agent meddling in us electionsamerican israel political action committee

it is interfering in the us electoral process and should be put on trial and its leaders imprisoned  benshapiro charliekirk11 httpstcoebo4ipuah8",20200215 1757210000,1,israel
1,1239547900012589056,zariths,rt qiss0rkid go to israel pls  we dont need you,20200316 1343430000,1,israel
2,1216559517887954945,kelownascott,the world including canada has given israel a green light to take palestinian land destroy palestinian homes and strengthen a system of apartheid shame on us,20200113 0316060000,1,israel
3,1217123508754534400,keishajake,"these children avoid walking over the us amp israel flags supposedly this is a generation which was taught to hate america amp israel but it is the opposite
iranians seek freedom peace amp a dignified life unlike the oppressive iranian regime
why is the media pro iran regime httpstcoym3zt8jlfy",20200114 1637120000,0,israel
4,1232258532273090560,amit2nirvana,rt idf the last 24 hours in israel httpstco0ynwvmsyvl,20200225 1058230000,0,israel
5,1224025761092448257,ninjaalex420,stranahan knowmorenews isnt confident enough to debate me that jesuits control israel not jews httpstcoraffekoslo,20200202 1744170000,0,israel
6,1242382710561107969,sevenshepherd,even an heritage unto israel his servant for his mercy endureth for ever psalms 13622 bible poetry god,20200324 0928150000,0,israel
7,1224677205306818561,mgsheikh8,"opinion no one in israel knew they were committing a massacre and they didnt care

gideon levy
httpstco2itgo9cute",20200204 1252530000,0,israel
8,1214278369338109953,elianebis1,httpstcoltb0zidzm9 when thecloudofgod appeared in the days of moses  he took the children of israel from egypt to the canaan through tremendous judgement of the egyptians god is coming back to judge sin again,20200106 2011380000,0,israel
9,1239732209872928768,rabbishmuley,smokers appear to be at higher risk from coronavirus  expert  the times of israel httpstcohgkq8m7cjr,20200317 0156060000,0,israel
10,1215728094423781376,bballinger6,"rt sebgorka so ilhanmn hates israel and defends iran 

   now do you understand",20200110 2012190000,0,israel
